addAtIndex, , addToFront, , addToBack, , removeAtIndex, , removeFromFront, , removeFromBack, , get, , 
n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), 
1, 26336, 2, 6882, 3, 6011, 2, 7974, 1, 7126, 0, 6280, 1, 6937, 
1001, 131321, 1002, 4440, 1003, 4331, 1002, 41435, 1001, 4625, 1000, 3769, 1001, 21618, 
2001, 88534, 2002, 4598, 2003, 6957, 2002, 48324, 2001, 5015, 2000, 3475, 2001, 42403, 
3001, 116400, 3002, 4327, 3003, 4496, 3002, 55865, 3001, 4885, 3000, 3799, 3001, 57205, 
4001, 146083, 4002, 4338, 4003, 4095, 4002, 76013, 4001, 4904, 4000, 4098, 4001, 75133, 
5001, 188059, 5002, 6419, 5003, 4041, 5002, 95241, 5001, 5013, 5000, 4108, 5001, 90628, 
6001, 250532, 6002, 8052, 6003, 5221, 6002, 107669, 6001, 6473, 6000, 4273, 6001, 104190, 
7001, 256141, 7002, 5816, 7003, 5944, 7002, 127532, 7001, 5491, 7000, 4308, 7001, 128938, 
8001, 298081, 8002, 6144, 8003, 5339, 8002, 153718, 8001, 7221, 8000, 4831, 8001, 144599, 
9001, 321726, 9002, 5970, 9003, 4709, 9002, 162755, 9001, 5079, 9000, 4776, 9001, 161242, 
10001, 372705, 10002, 4659, 10003, 6619, 10002, 192281, 10001, 4341, 10000, 3392, 10001, 182836, 
11001, 448639, 11002, 16344, 11003, 4886, 11002, 192089, 11001, 4707, 11000, 3602, 11001, 201518, 
12001, 534412, 12002, 8634, 12003, 4770, 12002, 766267, 12001, 15477, 12000, 6049, 12001, 287526, 
13001, 220147, 13002, 8781, 13003, 6098, 13002, 233072, 13001, 6297, 13000, 7852, 13001, 506629, 
14001, 212051, 14002, 6241, 14003, 5509, 14002, 260580, 14001, 6874, 14000, 4640, 14001, 309621, 
15001, 1252237, 15002, 565745, 15003, 1295747, 15002, 859580, 15001, 399996, 15000, 332270, 15001, 672353, 
